"Razveze zakonskih zvez po: STATISTIČNA REGIJA, LETO , TRAJANJE ZAKONSKE"
"ZVEZE"

"Pomurska"
" ";"2003"
" ";"2012"
" ";" ";"do 1 leta";3
" ";" ";"1 leto";9
" ";" ";"2 leti";8
" ";" ";"3 leta";14
" ";" ";"4 leta";19
" ";" ";"5-9 let";38
" ";" ";"10-14 let";37
" ";" ";"15-19 let";39
" ";" ";"20-24 let";38
" ";" ";"25 ali več let";71
" ";"2013"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";7
" ";" ";"2 leti";11
" ";" ";"3 leta";11
" ";" ";"4 leta";8
" ";" ";"5-9 let";53
" ";" ";"10-14 let";45
" ";" ";"15-19 let";47
" ";" ";"20-24 let";27
" ";" ";"25 ali več let";56
" ";"2014"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";11
" ";" ";"2 leti";5
" ";" ";"3 leta";12
" ";" ";"4 leta";7
" ";" ";"5-9 let";46
" ";" ";"10-14 let";32
" ";" ";"15-19 let";43
" ";" ";"20-24 let";32
" ";" ";"25 ali več let";70
"Zasavska"
" ";"2003"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";0
" ";" ";"2 leti";3
" ";" ";"3 leta";2
" ";" ";"4 leta";1
" ";" ";"5-9 let";10
" ";" ";"10-14 let";6
" ";" ";"15-19 let";10
" ";" ";"20-24 let";10
" ";" ";"25 ali več let";7
" ";"2004"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";0
" ";" ";"2 leti";1
" ";" ";"3 leta";0
" ";" ";"4 leta";3
" ";" ";"5-9 let";13
" ";" ";"10-14 let";7
" ";" ";"15-19 let";11
" ";" ";"20-24 let";11
" ";" ";"25 ali več let";6
" ";"2005"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";3
" ";" ";"2 leti";3
" ";" ";"3 leta";3
" ";" ";"4 leta";4
" ";" ";"5-9 let";15
" ";" ";"10-14 let";13
" ";" ";"15-19 let";8
" ";" ";"20-24 let";14
" ";" ";"25 ali več let";10
" ";"2006"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";0
" ";" ";"2 leti";1
" ";" ";"3 leta";2
" ";" ";"4 leta";1
" ";" ";"5-9 let";5
" ";" ";"10-14 let";5
" ";" ";"15-19 let";5
" ";" ";"20-24 let";4
" ";" ";"25 ali več let";9
" ";"2007"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";4
" ";" ";"2 leti";0
" ";" ";"3 leta";0
" ";" ";"4 leta";2
" ";" ";"5-9 let";13
" ";" ";"10-14 let";9
" ";" ";"15-19 let";8
" ";" ";"20-24 let";14
" ";" ";"25 ali več let";13
" ";"2008"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";2
" ";" ";"2 leti";1
" ";" ";"3 leta";4
" ";" ";"4 leta";2
" ";" ";"5-9 let";4
" ";" ";"10-14 let";1
" ";" ";"15-19 let";14
" ";" ";"20-24 let";10
" ";" ";"25 ali več let";9
" ";"2009"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";0
" ";" ";"2 leti";2
" ";" ";"3 leta";3
" ";" ";"4 leta";2
" ";" ";"5-9 let";11
" ";" ";"10-14 let";5
" ";" ";"15-19 let";2
" ";" ";"20-24 let";5
" ";" ";"25 ali več let";11
" ";"2010"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";0
" ";" ";"2 leti";1
" ";" ";"3 leta";2
" ";" ";"4 leta";3
" ";" ";"5-9 let";7
" ";" ";"10-14 let";9
" ";" ";"15-19 let";8
" ";" ";"20-24 let";7
" ";" ";"25 ali več let";13
" ";"2011"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";0
" ";" ";"2 leti";0
" ";" ";"3 leta";3
" ";" ";"4 leta";3
" ";" ";"5-9 let";8
" ";" ";"10-14 let";4
" ";" ";"15-19 let";7
" ";" ";"20-24 let";8
" ";" ";"25 ali več let";13
" ";"2012"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";2
" ";" ";"2 leti";1
" ";" ";"3 leta";2
" ";" ";"4 leta";1
" ";" ";"5-9 let";9
" ";" ";"10-14 let";4
" ";" ";"15-19 let";8
" ";" ";"20-24 let";6
" ";" ";"25 ali več let";16
" ";"2013"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";2
" ";" ";"2 leti";0
" ";" ";"3 leta";4
" ";" ";"4 leta";1
" ";" ";"5-9 let";7
" ";" ";"10-14 let";5
" ";" ";"15-19 let";3
" ";" ";"20-24 let";5
" ";" ";"25 ali več let";12
